scenario,quarter_index,quarter,kpi_order,pillar,subpillar,kpi,kpi_score_p10,kpi_score_median,kpi_score_p90
rec3_only,16,2029Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,16,2029Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,16,2029Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,16,2029Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,16,2029Q4,21,Innovation,Development,Tortoise Development Score,26.30621952893708,26.410573011362825,26.515976727156026
rec3_only,16,2029Q4,22,Innovation,Development,AI Patent Grants (per 100k),1.3576168294007542,1.4617137303452457,1.5673502698444337
rec3_only,16,2029Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,21.78862053525214,22.513182996418887,23.24820647159876
rec3_only,16,2029Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,7.542668328801947,8.040995421439348,8.528010286015803
rec3_only,16,2029Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),13.113016689229797,13.717077132916906,14.312722703747545
rec3_only,16,2029Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,1,2026Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
all_recommendations,1,2026Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
all_recommendations,1,2026Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
all_recommendations,1,2026Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
all_recommendations,1,2026Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
all_recommendations,1,2026Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
all_recommendations,1,2026Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,1,2026Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,1,2026Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,1,2026Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,1,2026Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,1,2026Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,1,2026Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,1,2026Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,1,2026Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,1,2026Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
all_recommendations,1,2026Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,1,2026Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,1,2026Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,1,2026Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,1,2026Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
all_recommendations,1,2026Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
all_recommendations,1,2026Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
all_recommendations,1,2026Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
all_recommendations,1,2026Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
all_recommendations,1,2026Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,2,2026Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
all_recommendations,2,2026Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
all_recommendations,2,2026Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
all_recommendations,2,2026Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
all_recommendations,2,2026Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
all_recommendations,2,2026Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
all_recommendations,2,2026Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,2,2026Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,2,2026Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,2,2026Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,2,2026Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,2,2026Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,2,2026Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,2,2026Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,2,2026Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,2,2026Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
all_recommendations,2,2026Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,2,2026Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,2,2026Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,2,2026Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,2,2026Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
all_recommendations,2,2026Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
all_recommendations,2,2026Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
all_recommendations,2,2026Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
all_recommendations,2,2026Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
all_recommendations,2,2026Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,3,2026Q3,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
all_recommendations,3,2026Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
all_recommendations,3,2026Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
all_recommendations,3,2026Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
all_recommendations,3,2026Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
all_recommendations,3,2026Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
all_recommendations,3,2026Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,3,2026Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,3,2026Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,3,2026Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,3,2026Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,3,2026Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,3,2026Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,3,2026Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,3,2026Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,3,2026Q3,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
all_recommendations,3,2026Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,3,2026Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,3,2026Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,3,2026Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,3,2026Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
all_recommendations,3,2026Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
all_recommendations,3,2026Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
all_recommendations,3,2026Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
all_recommendations,3,2026Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
all_recommendations,3,2026Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,4,2026Q4,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
all_recommendations,4,2026Q4,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
all_recommendations,4,2026Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
all_recommendations,4,2026Q4,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
all_recommendations,4,2026Q4,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.663171942026683
all_recommendations,4,2026Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
all_recommendations,4,2026Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,4,2026Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,4,2026Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,4,2026Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,4,2026Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,4,2026Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,4,2026Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,4,2026Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,4,2026Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,4,2026Q4,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
all_recommendations,4,2026Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,4,2026Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,4,2026Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,4,2026Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,4,2026Q4,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
all_recommendations,4,2026Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
all_recommendations,4,2026Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.93378319377511
all_recommendations,4,2026Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
all_recommendations,4,2026Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.055782188500082
all_recommendations,4,2026Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,5,2027Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.850809561781933
all_recommendations,5,2027Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
all_recommendations,5,2027Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.86016079032767
all_recommendations,5,2027Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.91032350614276
all_recommendations,5,2027Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.66082141488712,27.79892984419188
all_recommendations,5,2027Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,49.52601691339712
all_recommendations,5,2027Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,5,2027Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,5,2027Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,5,2027Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,5,2027Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,5,2027Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,5,2027Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,5,2027Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,5,2027Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,5,2027Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
all_recommendations,5,2027Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,5,2027Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,5,2027Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,5,2027Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,5,2027Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
all_recommendations,5,2027Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
all_recommendations,5,2027Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.929584922575692,15.153893718289483
all_recommendations,5,2027Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
all_recommendations,5,2027Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.052509443197952,8.284073703144108
all_recommendations,5,2027Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,6,2027Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.919125872291517,32.412133272225354
all_recommendations,6,2027Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,39.37699085905874
all_recommendations,6,2027Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.87585562548298,73.9933364555902
all_recommendations,6,2027Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.95296863459531,36.23515761637717
all_recommendations,6,2027Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.660169447773082,27.808850349076245,28.185054513540113
all_recommendations,6,2027Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,48.97012518300772,49.6070530669149,50.089660523906446
all_recommendations,6,2027Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,6,2027Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,6,2027Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,6,2027Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,6,2027Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,6,2027Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,6,2027Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,6,2027Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,6,2027Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,6,2027Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.82141889816644
all_recommendations,6,2027Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,6,2027Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,6,2027Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,6,2027Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,6,2027Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
all_recommendations,6,2027Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
all_recommendations,6,2027Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.933584021065744,15.262050085612167,15.778551261549342
all_recommendations,6,2027Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.204630830123565,3.3900839811833454
all_recommendations,6,2027Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.051144771312888,8.279797368687966,8.837590839039215
all_recommendations,6,2027Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,7,2027Q3,1,Implementation,Talent,Tortoise Talent Score,31.98706235920406,32.551070339561235,33.034227545445454
all_recommendations,7,2027Q3,2,Implementation,Talent,Relative AI Skill Penetration,39.308838343474925,39.38438260429767,39.75755061043433
all_recommendations,7,2027Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.89391115870973,74.02070795932295,74.16836000748832
all_recommendations,7,2027Q3,4,Implementation,Talent,AI Talent Concentration,35.997873139980065,36.31973918622465,36.574323838950974
all_recommendations,7,2027Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.986894711821016,28.41284994677342,29.044588172049313
all_recommendations,7,2027Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,49.7439514674669,50.29144136203898,50.73306962866379
all_recommendations,7,2027Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,7,2027Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,7,2027Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,7,2027Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,7,2027Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,7,2027Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,7,2027Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,7,2027Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,7,2027Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,7,2027Q3,16,Innovation,Research,Tortoise Research Score,30.79530519817867,30.824384057674088,30.970321480464996
all_recommendations,7,2027Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,7,2027Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,7,2027Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,7,2027Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,7,2027Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.84499769843231
all_recommendations,7,2027Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.887720360690671
all_recommendations,7,2027Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,15.90588422190549,16.46110221724397,17.283694542891215
all_recommendations,7,2027Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.5525899242925827,3.764219856999891,4.0664765792497155
all_recommendations,7,2027Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.598574337124552,9.104187349569031,9.935918364060258
all_recommendations,7,2027Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,8,2027Q4,1,Implementation,Talent,Tortoise Talent Score,32.68171741897381,33.21503326210031,33.75794252214542
all_recommendations,8,2027Q4,2,Implementation,Talent,Relative AI Skill Penetration,39.62237815425222,39.772211263102236,40.15490116344286
all_recommendations,8,2027Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.05496363432094,74.17748811704979,74.44081154465054
all_recommendations,8,2027Q4,4,Implementation,Talent,AI Talent Concentration,36.39764261469448,36.7022640869575,36.983447038602016
all_recommendations,8,2027Q4,5,Implementation,Talent,AI Job Postings (% of Total),28.64999504226542,29.337154310020374,30.140746991874586
all_recommendations,8,2027Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,50.60141128796729,51.13384342014835,51.625081386748896
all_recommendations,8,2027Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,8,2027Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,8,2027Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,8,2027Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,8,2027Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,8,2027Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,8,2027Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,8,2027Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,8,2027Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,8,2027Q4,16,Innovation,Research,Tortoise Research Score,30.918528044271024,30.97620252374253,31.125793842444597
all_recommendations,8,2027Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,8,2027Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,8,2027Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,8,2027Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,8,2027Q4,21,Innovation,Development,Tortoise Development Score,25.882469877086937,25.903747829572062,25.993675307605464
all_recommendations,8,2027Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.8778245167075388,0.8889667291126326,0.9685288656576103
all_recommendations,8,2027Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,17.37998882191357,18.19472103098118,19.150133081191967
all_recommendations,8,2027Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,4.367652450731329,4.716394727818374,5.10399355217151
all_recommendations,8,2027Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),9.50579435015443,10.291930799947119,11.22916183667852
all_recommendations,8,2027Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,9,2028Q1,1,Implementation,Talent,Tortoise Talent Score,33.31224624813116,33.903276137302285,34.49455386477237
all_recommendations,9,2028Q1,2,Implementation,Talent,Relative AI Skill Penetration,39.94975175787744,40.1729857284687,40.56696629089853
all_recommendations,9,2028Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.19993603007829,74.346776026002,74.98939659358881
all_recommendations,9,2028Q1,4,Implementation,Talent,AI Talent Concentration,36.75399215343888,37.09075512781311,37.395134413056084
all_recommendations,9,2028Q1,5,Implementation,Talent,AI Job Postings (% of Total),29.541238279491544,30.393001602198083,31.33006706371406
all_recommendations,9,2028Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,51.46628276806297,52.0527686689163,52.58968046556542
all_recommendations,9,2028Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,9,2028Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,9,2028Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,9,2028Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,9,2028Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,9,2028Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,9,2028Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,9,2028Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
all_recommendations,9,2028Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
all_recommendations,9,2028Q1,16,Innovation,Research,Tortoise Research Score,31.047187645979033,31.132445753692274,31.287023613411044
all_recommendations,9,2028Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
all_recommendations,9,2028Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
all_recommendations,9,2028Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
all_recommendations,9,2028Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
all_recommendations,9,2028Q1,21,Innovation,Development,Tortoise Development Score,26.0258986896854,26.069309916092696,26.135750738703603
all_recommendations,9,2028Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.9447788400980932,0.9713224252290986,1.0262492263482814
all_recommendations,9,2028Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,19.051089447399267,20.03870684016111,21.103431179109272
all_recommendations,9,2028Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,5.3667556724630865,5.900093090817439,6.518942627247464
all_recommendations,9,2028Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),10.558759927694847,11.478649611114651,12.403632261094026
all_recommendations,9,2028Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
all_recommendations,10,2028Q2,1,Implementation,Talent,Tortoise Talent Score,33.80097420897787,34.3928065108218,35.068717171255805
all_recommendations,10,2028Q2,2,Implementation,Talent,Relative AI Skill Penetration,40.288668568743674,40.56241033579657,40.87915945365677
all_recommendations,10,2028Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,74.31821273124697,74.47561977374338,75.61989717566885
all_recommendations,10,2028Q2,4,Implementation,Talent,AI Talent Concentration,37.03420269975952,37.3535800685564,37.67196131125233
all_recommendations,10,2028Q2,5,Implementation,Talent,AI Job Postings (% of Total),30.680509433824714,31.715057156253042,32.72802369454126
all_recommendations,10,2028Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,52.22605321304009,52.80226421650745,53.37625801473721
all_recommendations,10,2028Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
all_recommendations,10,2028Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
all_recommendations,10,2028Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
all_recommendations,10,2028Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
all_recommendations,10,2028Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
all_recommendations,10,2028Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
all_recommendations,10,2028Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
all_recommendations,10,2028Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
